,dense,dropout,batch_size,mean_test_score
6,256.0,0.4,16.0,485.3720764160156
0,128.0,0.2,16.0,501.5476318359375
2,128.0,0.4,16.0,534.3852722167969
1,128.0,0.2,32.0,621.0275695800781
5,256.0,0.2,32.0,661.8090942382812
3,128.0,0.4,32.0,688.372216796875
7,256.0,0.4,32.0,693.939453125
4,256.0,0.2,16.0,738.4123779296875
