,dense,dropout,batch_size,mean_test_score
5,256.0,0.2,32.0,8.990935707092286
0,128.0,0.2,16.0,9.172525787353516
7,256.0,0.4,32.0,9.290280151367188
4,256.0,0.2,16.0,9.391146373748779
3,128.0,0.4,32.0,9.476680946350097
6,256.0,0.4,16.0,9.639592933654786
1,128.0,0.2,32.0,9.82770881652832
2,128.0,0.4,16.0,9.939513206481934
