,dense,dropout,batch_size,mean_test_score
1,128.0,0.2,32.0,1.3315380334854126
5,256.0,0.2,32.0,1.4873455047607422
6,256.0,0.4,16.0,1.532561731338501
7,256.0,0.4,32.0,1.6314794301986695
4,256.0,0.2,16.0,1.7194459915161133
0,128.0,0.2,16.0,1.7533771514892578
3,128.0,0.4,32.0,2.0945483207702638
2,128.0,0.4,16.0,2.2009673833847048
