,dense,dropout,batch_size,mean_test_score
4,256.0,0.2,16.0,2.4968393802642823
5,256.0,0.2,32.0,2.507203388214111
3,128.0,0.4,32.0,2.592868185043335
1,128.0,0.2,32.0,2.8090842723846436
6,256.0,0.4,16.0,2.835122060775757
7,256.0,0.4,32.0,2.896449661254883
0,128.0,0.2,16.0,2.9449800491333007
2,128.0,0.4,16.0,3.068155527114868
