,dense,dropout,batch_size,mean_test_score
3,128.0,0.4,32.0,60.77435455322266
5,256.0,0.2,32.0,62.41836166381836
1,128.0,0.2,32.0,62.43870391845703
6,256.0,0.4,16.0,62.66992340087891
7,256.0,0.4,32.0,64.18498382568359
2,128.0,0.4,16.0,64.93187255859375
4,256.0,0.2,16.0,65.32414016723632
0,128.0,0.2,16.0,67.2894287109375
