,dense,dropout,batch_size,mean_test_score
2,128.0,0.4,16.0,5.057762718200683
3,128.0,0.4,32.0,5.497604274749756
7,256.0,0.4,32.0,5.578691864013672
0,128.0,0.2,16.0,5.633141994476318
1,128.0,0.2,32.0,5.777491664886474
4,256.0,0.2,16.0,5.787806034088135
6,256.0,0.4,16.0,5.887179946899414
5,256.0,0.2,32.0,5.982636165618897
