,dense,dropout,batch_size,mean_test_score
0,128.0,0.2,16.0,0.0025521171861328184
2,128.0,0.4,16.0,0.002807117928750813
6,256.0,0.4,16.0,0.0034979643765836953
4,256.0,0.2,16.0,0.004188521986361593
3,128.0,0.4,32.0,0.008683091355487704
5,256.0,0.2,32.0,0.013641986297443509
1,128.0,0.2,32.0,0.0166989890858531
7,256.0,0.4,32.0,0.11476442515850067
