,dense,dropout,batch_size,mean_test_score
0,128.0,0.2,16.0,2.4157760620117186
5,256.0,0.2,32.0,2.4474797010421754
6,256.0,0.4,16.0,2.4577840089797975
4,256.0,0.2,16.0,2.49643931388855
1,128.0,0.2,32.0,2.6672005653381348
3,128.0,0.4,32.0,2.8216113805770875
2,128.0,0.4,16.0,3.5313482761383055
7,256.0,0.4,32.0,5.161900472640991
