,0
0,5.26
1,5.26
2,5.26
3,5.26
4,5.26
5,5.26
6,5.26
7,5.26
8,5.26
9,5.26
10,5.26
11,5.26
12,5.26
13,5.26
14,5.26
15,5.26
16,5.26
17,5.26
18,5.26
19,5.26
20,5.26
21,5.26
22,5.26
23,5.26
24,5.26
25,5.26
26,5.26
27,5.26
28,5.26
29,5.26
30,5.26
31,5.26
32,5.26
33,5.26
34,5.26
35,5.26
36,5.26
37,5.26
38,5.26
39,5.26
40,5.26
41,5.26
42,5.26
43,5.26
44,5.26
45,5.26
46,5.26
47,5.26
48,5.26
49,5.26
50,5.26
51,5.26
52,5.26
53,5.26
54,5.26
55,5.26
56,5.26
57,5.26
58,5.26
59,5.26
60,5.26
61,5.26
62,5.26
63,5.26
64,5.26
65,5.26
66,5.26
67,5.26
68,5.26
69,5.26
70,5.26
71,5.26
72,5.26
73,5.26
74,5.26
75,5.26
76,5.26
77,5.26
78,5.26
79,5.26
80,5.26
81,5.26
82,5.26
83,5.26
84,5.26
85,5.26
86,5.26
87,5.26
88,5.26
89,5.26
90,5.26
91,5.26
92,5.26
93,5.26
94,5.26
95,5.26
96,5.26
97,5.26
98,5.26
99,5.26
100,6.79
101,6.79
102,6.79
103,6.79
104,6.79
105,6.79
106,6.79
107,6.79
108,6.79
109,6.79
110,6.79
111,6.79
112,6.79
113,6.79
114,6.79
115,6.79
116,6.79
117,6.79
118,6.79
119,6.79
120,6.79
121,6.79
122,6.79
123,6.79
124,6.79
125,6.79
126,6.79
127,6.79
128,6.79
129,6.79
130,6.79
131,6.79
132,6.79
133,6.79
134,6.79
135,6.79
136,6.79
137,6.79
138,6.79
139,6.79
140,6.79
141,6.79
142,6.79
143,6.79
144,6.79
145,6.79
146,6.79
147,6.79
148,6.79
149,6.79
150,6.79
151,6.79
152,6.79
153,6.79
154,6.79
155,6.79
156,6.79
157,6.79
158,6.79
159,6.79
160,6.79
161,6.79
162,6.79
163,6.79
164,6.79
165,6.79
166,6.79
167,6.79
168,6.79
169,6.79
170,6.79
171,6.79
172,6.79
173,6.79
174,6.79
175,6.79
176,6.79
177,6.79
178,6.79
179,6.79
180,6.79
181,6.79
182,6.79
183,6.79
184,6.79
185,6.79
186,6.79
187,6.79
188,6.79
189,6.79
190,6.79
191,6.79
192,6.79
193,6.79
194,6.79
195,6.79
196,6.79
197,6.79
198,6.79
199,6.79
200,13.85
201,13.85
202,13.85
203,13.85
204,13.85
205,13.85
206,13.85
207,13.85
208,13.85
209,13.85
210,13.85
211,13.85
212,13.85
213,13.85
214,13.85
215,13.85
216,13.85
217,13.85
218,13.85
219,13.85
220,13.85
221,13.85
222,13.85
223,13.85
224,13.85
225,13.85
226,13.85
227,13.85
228,13.85
229,13.85
230,13.85
231,13.85
232,13.85
233,13.85
234,13.85
235,13.85
236,13.85
237,13.85
238,13.85
239,13.85
240,13.85
241,13.85
242,13.85
243,13.85
244,13.85
245,13.85
246,13.85
247,13.85
248,13.85
249,13.85
250,13.85
251,13.85
252,13.85
253,13.85
254,13.85
255,13.85
256,13.85
257,13.85
258,13.85
259,13.85
260,13.85
261,13.85
262,13.85
263,13.85
264,13.85
265,13.85
266,13.85
267,13.85
268,13.85
269,13.85
270,13.85
271,13.85
272,13.85
273,13.85
274,13.85
275,13.85
276,13.85
277,13.85
278,13.85
279,13.85
280,13.85
281,13.85
282,13.85
283,13.85
284,13.85
285,13.85
286,13.85
287,13.85
288,13.85
289,13.85
290,13.85
291,13.85
292,13.85
293,13.85
294,13.85
295,13.85
296,13.85
297,13.85
298,13.85
299,13.85
300,5.68
301,5.68
302,5.68
303,5.68
304,5.68
305,5.68
306,5.68
307,5.68
308,5.68
309,5.68
310,5.68
311,5.68
312,5.68
313,5.68
314,5.68
315,5.68
316,5.68
317,5.68
318,5.68
319,5.68
320,5.68
321,5.68
322,5.68
323,5.68
324,5.68
325,5.68
326,5.68
327,5.68
328,5.68
329,5.68
330,5.68
331,5.68
332,5.68
333,5.68
334,5.68
335,5.68
336,5.68
337,5.68
338,5.68
339,5.68
340,5.68
341,5.68
342,5.68
343,5.68
344,5.68
345,5.68
346,5.68
347,5.68
348,5.68
349,5.68
350,5.68
351,5.68
352,5.68
353,5.68
354,5.68
355,5.68
356,5.68
357,5.68
358,5.68
359,5.68
360,5.68
361,5.68
362,5.68
363,5.68
364,5.68
365,5.68
366,5.68
367,5.68
368,5.68
369,5.68
370,5.68
371,5.68
372,5.68
373,5.68
374,5.68
375,5.68
376,5.68
377,5.68
378,5.68
379,5.68
380,5.68
381,5.68
382,5.68
383,5.68
384,5.68
385,5.68
386,5.68
387,5.68
388,5.68
389,5.68
390,5.68
391,5.68
392,5.68
393,5.68
394,5.68
395,5.68
396,5.68
397,5.68
398,5.68
399,5.68
400,11.86
401,11.86
402,11.86
403,11.86
404,11.86
405,11.86
406,11.86
407,11.86
408,11.86
409,11.86
410,11.86
411,11.86
412,11.86
413,11.86
414,11.86
415,11.86
416,11.86
417,11.86
418,11.86
419,11.86
420,11.86
421,11.86
422,11.86
423,11.86
424,11.86
425,11.86
426,11.86
427,11.86
428,11.86
429,11.86
430,11.86
431,11.86
432,11.86
433,11.86
434,11.86
435,11.86
436,11.86
437,11.86
438,11.86
439,11.86
440,11.86
441,11.86
442,11.86
443,11.86
444,11.86
445,11.86
446,11.86
447,11.86
448,11.86
449,11.86
450,11.86
451,11.86
452,11.86
453,11.86
454,11.86
455,11.86
456,11.86
457,11.86
458,11.86
459,11.86
460,11.86
461,11.86
462,11.86
463,11.86
464,11.86
465,11.86
466,11.86
467,11.86
468,11.86
469,11.86
470,11.86
471,11.86
472,11.86
473,11.86
474,11.86
475,11.86
476,11.86
477,11.86
478,11.86
479,11.86
480,11.86
481,11.86
482,11.86
483,11.86
484,11.86
485,11.86
486,11.86
487,11.86
488,11.86
489,11.86
490,11.86
491,11.86
492,11.86
493,11.86
494,11.86
495,11.86
496,11.86
497,11.86
498,11.86
499,11.86
500,23.56
501,23.56
502,23.56
503,23.56
504,23.56
505,23.56
506,23.56
507,23.56
508,23.56
509,23.56
510,23.56
511,23.56
512,23.56
513,23.56
514,23.56
515,23.56
516,23.56
517,23.56
518,23.56
519,23.56
520,23.56
521,23.56
522,23.56
523,23.56
524,23.56
