,dense,dropout,batch_size,mean_test_score
4,256.0,0.2,16.0,2.421951961517334
0,128.0,0.2,16.0,2.447114133834839
2,128.0,0.4,16.0,2.5895511150360107
3,128.0,0.4,32.0,2.61413311958313
5,256.0,0.2,32.0,2.6260995388031008
6,256.0,0.4,16.0,2.6886717319488525
7,256.0,0.4,32.0,2.710690212249756
1,128.0,0.2,32.0,2.7212093830108643
